,track_id,track_name,artist,duration_ms,user,track_id,acousticness,danceability,energy,liveness,speechiness,instrumentalness,valence,loudness,tempo
28,2ExXffMgsdKd8DBjjdQFvv,"Soham Omkaaramae Ayyappa (From ""Ayyappa Kataksham"")",Shankar Mahadevan,351827,user2,2ExXffMgsdKd8DBjjdQFvv,0.612,0.646,0.816,0.688,0.0935,3.37e-05,0.873,-6.626,91.013
29,5deIfEF0rRfdqSOsYJURfv,Shani Namavali (11 Names),Shankar Mahadevan,130089,user2,5deIfEF0rRfdqSOsYJURfv,0.989,0.262,0.0853,0.0809,0.0411,0.000194,0.13,-17.499,76.179
30,2BHQF4eFa2n2OnlYMYaRs7,"Kannada Nadina - From ""Hubballi""",Shankar Mahadevan,314279,user2,2BHQF4eFa2n2OnlYMYaRs7,0.27,0.704,0.94,0.221,0.138,3.19e-06,0.515,-4.943,120.011
31,2uwZSBvQer73esf6tV1wQG,Taarefon Se,Amit Trivedi,278238,user2,2uwZSBvQer73esf6tV1wQG,0.76,0.605,0.437,0.111,0.0293,0.00112,0.301,-9.023,125.906
32,3Is3iFIABJrWgQ6OCiHaQJ,Mahima Guru Ki Aprampar,Suresh Wadkar,344677,user2,3Is3iFIABJrWgQ6OCiHaQJ,0.565,0.663,0.555,0.112,0.0321,0.0,0.696,-9.186,85.977
33,6D9crvdRbcSP2cZWiEjvnm,Ashq Na Ho - Asees Kaur Version,Asees Kaur,202127,user2,6D9crvdRbcSP2cZWiEjvnm,0.967,0.303,0.105,0.107,0.0377,0.0,0.199,-8.769,80.429
34,64VzrAuHlfLCJdJjygwvIT,"Ae Dil Hai Mushkil Title Track (From ""Ae Dil Hai Mushkil"")",Pritam,269032,user1,64VzrAuHlfLCJdJjygwvIT,0.713,0.495,0.654,0.165,0.0679,0.0,0.35,-6.639,123.896
35,0Tf9Mwk7DwysEajSNGa8n2,goodnight n go,Ariana Grande,189506,user1,0Tf9Mwk7DwysEajSNGa8n2,0.0213,0.694,0.453,0.0795,0.0397,0.0,0.24,-7.069,110.909
36,7wA4ZnoGI9E6ZcyTPXq9HP,nasty,Ariana Grande,200732,user1,7wA4ZnoGI9E6ZcyTPXq9HP,0.0922,0.77,0.512,0.198,0.121,2.31e-05,0.53,-6.575,127.883
37,6MemXC7k3UjwcCmahZPb6o,Gato Din Guli,Jhuma Chakraborty,169743,user1,6MemXC7k3UjwcCmahZPb6o,0.869,0.533,0.311,0.106,0.0286,0.0,0.325,-7.609,113.957
38,1xMCFmyVO51PPgWv1szzC5,Bad Decisions,Ariana Grande,226426,user1,1xMCFmyVO51PPgWv1szzC5,0.0146,0.694,0.643,0.281,0.0414,0.0,0.809,-5.404,131.966
